id,power,speed,angle,energy,depth,t_inters
2107.1,3500,0.1667,-20,20.995800839832,1.161,0.441488638272346
2108.1,3500,0.1667,-20,20.995800839832,1.263,0.451206694661068
2109.1,3500,0.1667,-20,20.995800839832,1.14,0.451206694661068
2110.1,3500,0.1667,-20,20.995800839832,1.278,0.451206694661068
2201.1,4000,0.1667,-20,23.995200959808,1.425,0.454266436712657
2202.1,4000,0.1667,-20,23.995200959808,1.582,0.454266436712657
2203.1,4000,0.1667,-20,23.995200959808,1.531,0.442856718656269
2204.1,4000,0.1667,-20,23.995200959808,1.502,0.454266436712657
2205.1,4000,0.1667,-20,23.995200959808,1.479,0.454266436712657
2206.1,4000,0.1667,-20,23.995200959808,1.511,0.441357018596281
2207.1,4000,0.1667,-20,23.995200959808,1.526,0.454098470305939
2208.1,4000,0.1667,-20,23.995200959808,1.502,0.454098470305939
2209.1,4000,0.1667,-20,23.995200959808,1.453,0.454098470305939
2210.1,4000,0.1667,-20,23.995200959808,1.373,0.441057078584283
2301.1,4750,0.1667,-20,28.494301139772,1.73,0.456848272345531
2302.1,4750,0.1667,-20,28.494301139772,1.789,0.443740893821236
2303.1,4750,0.1667,-20,28.494301139772,1.796,0.444820677864427
2304.1,4750,0.1667,-20,28.494301139772,1.946,0.445480545890822
2305.1,4750,0.1667,-20,28.494301139772,1.817,0.444304781043791
2306.1,4750,0.1667,-20,28.494301139772,1.773,0.445222597480504
2307.1,4750,0.1667,-20,28.494301139772,1.77,0.457118218356329
2308.1,4750,0.1667,-20,28.494301139772,1.771,0.455228596280744
2309.1,4750,0.1667,-20,28.494301139772,1.68,0.456620317936413
2310.1,4750,0.1667,-20,28.494301139772,1.622,0.443398962207559
2401.1,5500,0.1667,-20,32.9934013197361,2.131,0.459772039592082
2402.1,5500,0.1667,-20,32.9934013197361,2.307,0.44623874625075
2403.1,5500,0.1667,-20,32.9934013197361,2.181,0.459730047990402
2404.1,5500,0.1667,-20,32.9934013197361,1.993,0.459730047990402
2405.1,5500,0.1667,-20,32.9934013197361,1.971,0.445188956208758
2406.1,5500,0.1667,-20,32.9934013197361,2.089,0.45872224955009
2407.1,5500,0.1667,-20,32.9934013197361,1.902,0.45872224955009
2408.1,5500,0.1667,-20,32.9934013197361,1.977,0.458566280743851
2409.1,5500,0.1667,-20,32.9934013197361,1.925,0.445992795440912
2410.1,5500,0.1667,-20,32.9934013197361,1.734,0.458566280743851
2501.1,4000,0.1167,-10,34.2759211653813,2.114,0.647691071122536
2502.1,4000,0.1167,-10,34.2759211653813,1.959,0.646371448157669
2503.1,4000,0.1167,-10,34.2759211653813,2.19,0.635531688089117
2504.1,4000,0.1167,-10,34.2759211653813,2.211,0.648265192802057
2505.1,4000,0.1167,-10,34.2759211653813,2.147,0.64790529562982
2506.1,4000,0.1167,-10,34.2759211653813,2.161,0.636448568980291
2507.1,4000,0.1167,-10,34.2759211653813,2.005,0.636457137960583
2508.1,4000,0.1167,-10,34.2759211653813,2.201,0.648590814053128
2509.1,4000,0.1167,-10,34.2759211653813,2.05,0.63625148243359
2510.1,4000,0.1167,-10,34.2759211653813,1.906,0.64835088260497
2601.1,3000,0.087525,-10,34.2759211653813,1.599,0.837198994572979
2602.1,3000,0.087525,-10,34.2759211653813,1.672,0.848167289345901
2603.1,3000,0.087525,-10,34.2759211653813,1.53,0.846602022279349
2604.1,3000,0.087525,-10,34.2759211653813,1.547,0.847710277063696
2605.1,3000,0.087525,-10,34.2759211653813,1.676,0.845196709511568
2606.1,3000,0.087525,-10,34.2759211653813,1.623,0.834228414738646
2607.1,3000,0.087525,-10,34.2759211653813,1.766,0.844853950299914
2608.1,3000,0.087525,-10,34.2759211653813,1.611,0.845082456441017
2609.1,3000,0.087525,-10,34.2759211653813,1.563,0.833897080834047
2610.1,3000,0.087525,-10,34.2759211653813,1.589,0.831829100257069
2701.1,4000,0.2333,-10,17.1453064723532,0.955,0.315342858979854
2702.1,4000,0.2333,-10,17.1453064723532,1.019,0.302445302186026
2703.1,4000,0.2333,-10,17.1453064723532,0.89,0.315445730818688
2704.1,4000,0.2333,-10,17.1453064723532,0.919,0.314909939991427
2705.1,4000,0.2333,-10,17.1453064723532,1,0.313752631804543
2706.1,4000,0.2333,-10,17.1453064723532,0.866,0.314579892841835
2707.1,4000,0.2333,-10,17.1453064723532,0.994,0.302342430347192
2708.1,4000,0.2333,-10,17.1453064723532,1.035,0.315154260608658
2709.1,4000,0.2333,-10,17.1453064723532,0.882,0.301815212173168
2710.1,4000,0.2333,-10,17.1453064723532,0.853,0.316050102871839
2801.1,5500,0.3207875,-10,17.1453064723532,0.851,0.213319883100183
2802.1,5500,0.3207875,-10,17.1453064723532,0.867,0.213319883100183
2803.1,5500,0.3207875,-10,17.1453064723532,0.934,0.224819707750458
2804.1,5500,0.3207875,-10,17.1453064723532,0.911,0.224819707750458
2805.1,5500,0.3207875,-10,17.1453064723532,0.914,0.224819707750458
2806.1,5500,0.3207875,-10,17.1453064723532,0.921,0.224819707750458
2807.1,5500,0.3207875,-10,17.1453064723532,0.895,0.224635785371936
2808.1,5500,0.3207875,-10,17.1453064723532,0.909,0.211449486030472
2809.1,5500,0.3207875,-10,17.1453064723532,0.878,0.224635785371936
2810.1,5500,0.3207875,-10,17.1453064723532,0.899,0.224635785371936
2901.1,5500,0.2381,-10,23.0995380092398,1.319,0.301755972280554
2902.1,5500,0.2381,-10,23.0995380092398,1.434,0.310773191936161
2903.1,5500,0.2381,-10,23.0995380092398,1.338,0.310773191936161
2904.1,5500,0.2381,-10,23.0995380092398,1.44,0.310773191936161
2905.1,5500,0.2381,-10,23.0995380092398,1.318,0.299912209155817
2906.1,5500,0.2381,-10,23.0995380092398,1.465,0.299257022259555
2907.1,5500,0.2381,-10,23.0995380092398,1.102,0.299236022679546
2908.1,5500,0.2381,-10,23.0995380092398,1.353,0.310407799244015
2909.1,5500,0.2381,-10,23.0995380092398,1.297,0.311625774884502
2910.1,5500,0.2381,-10,23.0995380092398,1.322,0.310634594708106
3001.1,3000,0.129872727272727,-10,23.0995380092398,1.1,0.587159449111018
3002.1,3000,0.129872727272727,-10,23.0995380092398,0.988,0.587159449111018
3003.1,3000,0.129872727272727,-10,23.0995380092398,1.239,0.587159449111018
3004.1,3000,0.129872727272727,-10,23.0995380092398,1.043,0.587159449111018
3005.1,3000,0.129872727272727,-10,23.0995380092398,1.151,0.575116889962201
3006.1,3000,0.129872727272727,-10,23.0995380092398,1.176,0.575116889962201
3007.1,3000,0.129872727272727,-10,23.0995380092398,1.156,0.586735957580848
3008.1,3000,0.129872727272727,-10,23.0995380092398,0.987,0.586735957580848
3009.1,3000,0.129872727272727,-10,23.0995380092398,1.166,0.574747297354053
3010.1,3000,0.129872727272727,-10,23.0995380092398,1.091,0.587629139717206
3101.1,4000,0.1167,-20,34.2759211653813,2.387,0.664036992287918
3102.1,4000,0.1167,-20,34.2759211653813,2.092,0.652194661525278
3103.1,4000,0.1167,-20,34.2759211653813,2.075,0.652194661525278
3104.1,4000,0.1167,-20,34.2759211653813,2.296,0.664036992287918
3105.1,4000,0.1167,-20,34.2759211653813,2.319,0.653617112253642
3106.1,4000,0.1167,-20,34.2759211653813,2.196,0.665510856898029
3107.1,4000,0.1167,-20,34.2759211653813,2.048,0.667241790916881
